im_name,gt_name
STARE_all-images/im0001.png,STARE_all-images/im0001.png
STARE_all-images/im0002.png,STARE_all-images/im0002.png
STARE_all-images/im0003.png,STARE_all-images/im0003.png
STARE_all-images/im0004.png,STARE_all-images/im0004.png
STARE_all-images/im0005.png,STARE_all-images/im0005.png
STARE_all-images/im0006.png,STARE_all-images/im0006.png
STARE_all-images/im0007.png,STARE_all-images/im0007.png
STARE_all-images/im0008.png,STARE_all-images/im0008.png
STARE_all-images/im0009.png,STARE_all-images/im0009.png
STARE_all-images/im0010.png,STARE_all-images/im0010.png
STARE_all-images/im0011.png,STARE_all-images/im0011.png
STARE_all-images/im0012.png,STARE_all-images/im0012.png
STARE_all-images/im0013.png,STARE_all-images/im0013.png
STARE_all-images/im0014.png,STARE_all-images/im0014.png
STARE_all-images/im0015.png,STARE_all-images/im0015.png
STARE_all-images/im0016.png,STARE_all-images/im0016.png
STARE_all-images/im0017.png,STARE_all-images/im0017.png
STARE_all-images/im0018.png,STARE_all-images/im0018.png
STARE_all-images/im0019.png,STARE_all-images/im0019.png
STARE_all-images/im0020.png,STARE_all-images/im0020.png
STARE_all-images/im0021.png,STARE_all-images/im0021.png
STARE_all-images/im0022.png,STARE_all-images/im0022.png
STARE_all-images/im0023.png,STARE_all-images/im0023.png
STARE_all-images/im0024.png,STARE_all-images/im0024.png
STARE_all-images/im0025.png,STARE_all-images/im0025.png
STARE_all-images/im0026.png,STARE_all-images/im0026.png
STARE_all-images/im0027.png,STARE_all-images/im0027.png
STARE_all-images/im0028.png,STARE_all-images/im0028.png
STARE_all-images/im0029.png,STARE_all-images/im0029.png
STARE_all-images/im0030.png,STARE_all-images/im0030.png
STARE_all-images/im0031.png,STARE_all-images/im0031.png
STARE_all-images/im0032.png,STARE_all-images/im0032.png
STARE_all-images/im0033.png,STARE_all-images/im0033.png
STARE_all-images/im0034.png,STARE_all-images/im0034.png
STARE_all-images/im0035.png,STARE_all-images/im0035.png
STARE_all-images/im0036.png,STARE_all-images/im0036.png
